Madrid-Norte;28000777;CPR INF-PRI-SEC;BIENAVENTURADA VIRGEN MARIA;Calle De Begonia , 275;Alcobendas;-;28109;916501500;916502603;-;Privado
Madrid-Capital;28022414;CPR INF-PRI-SEC;BIENAVENTURADA VIRGEN MARIA;Calle De Cullera , 17;Madrid;Latina;28047;914623372;915251742;-;Privado Concertado
Madrid-Capital;28008107;CPR INF-PRI-SEC;BLANCA DE CASTILLA;Paseo De Eduardo Dato , 2;Madrid;Chamberí;28010;914460398;915939922;-;Privado Concertado
Madrid-Sur;28025713;CPR INF-PRI-SEC;BOSQUE REAL COLLEGE;Calle Duero , 47;Villaviciosa de Odón;-;28670;916167250;916167302;-;Privado
Madrid-Capital;28020077;CPR INF-PRI-SEC;BRISTOL;Calle De Enrique De Prada , 1;Madrid;Hortaleza;28042;917428687;917418207;-;Privado
Madrid-Capital;28013103;CPR INF-PRI-SEC;CALASANCIO-NTRA.SRA.DE LAS ESCUELAS PIAS;Calle Del Conde De Peñalver , 51;Madrid;Salamanca;28006;914449400;914016433;-;Privado Concertado
Madrid-Este;28000479;CPR INF-PRI-SEC;CALASANZ;Calle Santiago , 29;Alcalá de Henares;-;28801;918892900;918771836;-;Privado Concertado
Madrid-Sur;28036061;CPR INF-PRI-SEC;CALASANZ;Calle Asturias , s/n;Pinto;-;28320;916912398;916928509;-;Privado Concertado
Madrid-Capital;28011477;CPR INF-PRI-SEC;CARDENAL SPINOLA;Calle Del Cardenal Marcelo Spinola , 34;Madrid;Chamartín;28016;913022040;917661395;-;Privado Concertado
Madrid-Capital;28020156;CPR INF-PRI-SEC;CASA DE LA VIRGEN;Calle De La Virgen Del Val , 1;Madrid;Ciudad Lineal;28027;914041788;913269087;-;Privado Concertado
Madrid-Sur;28034994;CPR INF-PRI-SEC;CASTILLA;Calle Iglesia , 1;Torrejón de la Calzada;-;28991;918160318;918160287;-;Privado Concertado
Madrid-Oeste;28064184;CPR INF-PRI-SEC;CASVI-BOADILLA;Calle Miguel Ángel Cantero Oliva , 13;Boadilla del Monte;-;28660;916162218;916164410;-;Privado Concertado
Madrid-Capital;28015094;CPR INF-PRI-SEC;CENTRO CULTURAL ELFO;Calle Del Elfo , 74;Madrid;Ciudad Lineal;28027;913673653;91 4081287;-;Privado Concertado
Madrid-Capital;28019142;CPR INF-PRI-SEC;CENTRO CULTURAL PALOMERAS;Calle De Luis Marín , s/n;Madrid;Puente de Vallecas;28038;917863865;917863865;Transt. Desarrollo;Privado Concertado
Madrid-Capital;28016271;CPR INF-PRI-SEC;CENTRO CULTURAL SALMANTINO;Calle Del Puerto De Pajares , 6;Madrid;Puente de Vallecas;28053;914786571;914789110;-;Privado Concertado
Madrid-Sur;28040623;CPR INF-PRI-SEC;CENTRO EDUCATIVO LA AMISTAD;Calle De Sevilla , 10;Fuenlabrada;-;28941;916153789;916153789;-;Privado Concertado
Madrid-Capital;28062497;CPR INF-PRI-SEC;CENTRO EDUCATIVO PONCE DE LEON;Calle De Eduardo Barreiros , 6;Madrid;Usera;28041;913178441;913177715;Auditivos;Privado Concertado
Madrid-Oeste;28041287;CPR INF-PRI-SEC;CENTRO EDUCATIVO PUNTA GALEA;Calle Playa Del Sardinero , 1;Rozas de Madrid, Las;-;28290;916302641;916302955;-;Privado
Madrid-Sur;28001046;CPR INF-PRI-SEC;CENTRO EDUCATIVO VILLA DE ALCORCON;Calle De Madrid , 12;Alcorcón;-;28921;916438329;916448058;-;Privado Concertado
Madrid-Oeste;28046601;CPR INF-PRI-SEC;CENTRO ESCOLAR BALDER;Calle Sierra Morena , 41;Rozas de Madrid, Las;-;28290;916303232;916303232;-;Privado
Madrid-Capital;28070512;CPR INF-PRI-SEC;CENTRO HENRY DUNANT;Calle De Rafael Finat , 75;Madrid;Latina;28044;915095452;-;-;Privado Concertado
Madrid-Capital;28020120;CPR INF-PRI-SEC;CHAMBERI;Calle De Rafael Calvo , 12;Madrid;Chamberí;28010;914456250;915941380;Transt. Desarrollo;Privado Concertado
Madrid-Capital;28011593;CPR INF-PRI-SEC;CIUDAD DE LOS MUCHACHOS;Calle De Santa Marta , 15;Madrid;Puente de Vallecas;28038;914342030;915017177;-;Privado Concertado
